run_folder,algorithm,var_nm3,var_nm10,var_nm4,var_wnm2,var_wpm5,var_lpm5,var_wnm0,var_lpm0,var_capv,obj_Gain,obj_PM,pass_fail,run_id,is_real
nsga2_20260828_001842,nsga2,7.296431145637839,16.77007337175527,14.406165834971453,1.886655235947468e-05,7.298056039982786e-05,6.358578837608601e-06,9.338264291609242e-05,8.77210831817888e-06,9.57040740159578e-12,86.91999999999999,131.5,PASS,20260828_001842,1
nsga2_20260828_001842,nsga2,7.4949857743500115,6.350612613982103,13.823147701085796,1.8299829051921287e-05,3.162483163821322e-05,5.454059229352553e-06,9.549861444956439e-05,8.787659162005077e-06,7.60974128183807e-12,82.43,150.1,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,3.8281556315035354,16.809082057671887,14.403102851788022,3.2433631750917603e-05,7.298824127149937e-05,4.932998085645975e-06,9.338264291609242e-05,8.320440370978496e-06,9.476046159759503e-12,88.1,127.2,PASS,20260828_001842,1
nsga2_20260828_001842,nsga2,7.460923204094417,16.77298100179959,14.465700688113326,1.838692678740622e-05,7.408762726788688e-05,6.601089049285051e-06,9.335860052632121e-05,8.629694560520226e-06,7.422441185173048e-12,87.29,130.4,PASS,20260828_001842,1
nsga2_20260828_001842,nsga2,7.4949857743500115,6.350612613982103,13.823147701085796,1.8299829051921287e-05,3.179671367238166e-05,5.442288523959138e-06,9.549861444956439e-05,8.645712871129781e-06,7.60974128183807e-12,82.39,150.8,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,3.8281556315035354,17.12008606230773,14.50237539153736,3.226696967909256e-05,7.298824127149937e-05,4.970735227403581e-06,5.975284251527401e-05,8.359209535483168e-06,9.254323509320763e-12,86.75,146.5,PASS,20260828_001842,1
nsga2_20260828_001842,nsga2,3.646532366260545,4.408371293770228,8.413433159352335,3.22832940307416e-05,2.8418187319059638e-05,8.386444940588663e-06,5.9802542480561646e-05,4.161781421422486e-06,9.371427507240935e-12,80.01,153.0,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,3.5488329722576206,16.560482240446703,8.223900908607455,1.811275875629219e-05,7.43477747811029e-05,6.361160221667747e-06,9.338264291609242e-05,8.623706866674642e-06,9.57040740159578e-12,89.94000000000001,124.69999999999999,PASS,20260828_001842,1
nsga2_20260828_081956,nsga2,4.867412703487644,5.956695848103986,5.5477216526780255,1.4236315271906184e-05,4.867354015083401e-05,9.678201079361269e-06,9.704722401221916e-05,7.385504437348569e-06,5.871041699926908e-12,83.78,136.7,FAIL,20260828_081956,1
