run_folder,algorithm,generation,evaluations,var_nm3,var_nm10,var_nm4,var_wnm2,var_wpm5,var_lpm5,var_wnm0,var_lpm0,var_capv,obj_Gain,obj_PM,pass_fail,run_id,is_real
nsga2_20260828_001842,nsga2,3,60,6.687335556911206,13.322778293213352,2.12577328228637,3.944606489436121e-06,2.811645147771436e-05,4.857939081768927e-06,4.881251864827466e-05,3.860008274722297e-06,1.870517874540717e-12,73.54,136.7,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,4,80,6.687335556911206,13.322778293213352,2.12577328228637,3.944606489436121e-06,2.811645147771436e-05,4.857939081768927e-06,4.881251864827466e-05,3.860008274722297e-06,1.870517874540717e-12,73.54,136.7,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,5,100,6.300152887816308,13.352494867488737,14.217788323854037,3.249399686521677e-05,2.811645147771436e-05,4.857939081768927e-06,4.9783909876602916e-05,3.841538026691509e-06,2.307559670062869e-12,78.75,138.7,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,6,120,6.836345325161529,13.360384891671318,17.49994892819359,3.2459563274590594e-05,3.2130707512673806e-05,4.96559306030729e-06,9.54970849277903e-05,8.629694560520226e-06,8.15064581393241e-12,81.6,145.2,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,7,140,3.646532366260545,4.408371293770228,8.352725931580943,3.22832940307416e-05,2.8590069353228078e-05,9.828295614257585e-06,5.9802542480561646e-05,4.03683615577536e-06,9.845303039314996e-12,79.27,147.1,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,8,160,3.646532366260545,4.408371293770228,8.352725931580943,3.22832940307416e-05,2.8590069353228078e-05,9.828295614257585e-06,5.9802542480561646e-05,4.03683615577536e-06,9.845303039314996e-12,79.27,147.1,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,9,180,3.646532366260545,4.408371293770228,8.352725931580943,3.22832940307416e-05,2.8590069353228078e-05,8.606827040806938e-06,5.9802542480561646e-05,4.03683615577536e-06,9.56957711038207e-12,79.76,153.1,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,10,200,3.646532366260545,4.408371293770228,8.352725931580943,3.22832940307416e-05,2.8590069353228078e-05,8.606827040806938e-06,5.9802542480561646e-05,4.03683615577536e-06,9.56957711038207e-12,79.76,153.1,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,11,220,3.646532366260545,4.408371293770228,8.352725931580943,3.22832940307416e-05,2.8590069353228078e-05,8.374674606380945e-06,5.9802542480561646e-05,4.03683615577536e-06,9.56957711038207e-12,79.86,154.2,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,12,240,3.646532366260545,4.408371293770228,8.352725931580943,3.22832940307416e-05,2.8590069353228078e-05,8.374674606380945e-06,5.9802542480561646e-05,4.03683615577536e-06,9.56957711038207e-12,79.86,154.2,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,13,260,3.646532366260545,4.408371293770228,8.352725931580943,3.22832940307416e-05,2.8590069353228078e-05,8.374674606380945e-06,5.9802542480561646e-05,4.03683615577536e-06,9.56957711038207e-12,79.86,154.2,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,14,280,3.646532366260545,4.408371293770228,8.352725931580943,3.22832940307416e-05,2.8590069353228078e-05,8.374674606380945e-06,5.9802542480561646e-05,4.03683615577536e-06,9.56957711038207e-12,79.86,154.2,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,15,300,3.646532366260545,4.408371293770228,8.352725931580943,3.22832940307416e-05,2.8590069353228078e-05,8.374674606380945e-06,5.9802542480561646e-05,4.03683615577536e-06,9.56957711038207e-12,79.86,154.2,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,16,320,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,17,340,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
nsga2_20260828_001842,nsga2,18,360,4.900480172188689,6.274058505346476,8.355723928153147,3.0727247567705755e-05,3.183709374051391e-05,8.618091439825802e-06,5.9802542480561646e-05,3.8011147996770325e-06,9.818938771371196e-12,78.56,155.30000000000004,FAIL,20260828_001842,1
